;Submission ID;Respondent ID;Submitted at;What is your age?;What is your ZIP code?;How many cups of coffee do you typically drink per day?;Where do you typically drink coffee?;Where do you typically drink coffee? (At home);Where do you typically drink coffee? (At the office);Where do you typically drink coffee? (On the go);Where do you typically drink coffee? (At a cafe);Where do you typically drink coffee? (None of these);How do you brew coffee at home?;How do you brew coffee at home? (Pour over);How do you brew coffee at home? (French press);How do you brew coffee at home? (Espresso);How do you brew coffee at home? (Coffee brewing machine (e.g. Mr. Coffee));How do you brew coffee at home? (Pod/capsule machine (e.g. Keurig/Nespresso));How do you brew coffee at home? (Instant coffee);How do you brew coffee at home? (Bean-to-cup machine);How do you brew coffee at home? (Cold brew);How do you brew coffee at home? (Coffee extract (e.g. Cometeer));How do you brew coffee at home? (Other);How else do you brew coffee at home?;On the go, where do you typically purchase coffee?;On the go, where do you typically purchase coffee? (National chain (e.g. Starbucks, Dunkin));On the go, where do you typically purchase coffee? (Local cafe);On the go, where do you typically purchase coffee? (Drive-thru);On the go, where do you typically purchase coffee? (Specialty coffee shop);On the go, where do you typically purchase coffee? (Deli or supermarket);On the go, where do you typically purchase coffee? (Other);Where else do you purchase coffee?;What is your favorite coffee drink?;Please specify what your favorite coffee drink is;Do you usually add anything to your coffee?;Do you usually add anything to your coffee? (No - just black);Do you usually add anything to your coffee? (Milk, dairy alternative, or coffee creamer);Do you usually add anything to your coffee? (Sugar or sweetener);Do you usually add anything to your coffee? (Flavor syrup);Do you usually add anything to your coffee? (Other);What else do you add to your coffee?;What kind of dairy do you add?;What kind of dairy do you add? (Whole milk);What kind of dairy do you add? (Skim milk);What kind of dairy do you add? (Half and half);What kind of dairy do you add? (Coffee creamer);What kind of dairy do you add? (Flavored coffee creamer);What kind of dairy do you add? (Oat milk);What kind of dairy do you add? (Almond milk);What kind of dairy do you add? (Soy milk);What kind of dairy do you add? (Other);What kind of sugar or sweetener do you add?;What kind of sugar or sweetener do you add? (Granulated Sugar);What kind of sugar or sweetener do you add? (Artificial Sweeteners (e.g., Splenda));What kind of sugar or sweetener do you add? (Honey);What kind of sugar or sweetener do you add? (Maple Syrup);What kind of sugar or sweetener do you add? (Stevia);What kind of sugar or sweetener do you add? (Agave Nectar);What kind of sugar or sweetener do you add? (Brown Sugar);What kind of sugar or sweetener do you add? (Raw Sugar (Turbinado));What kind of flavorings do you add?;What kind of flavorings do you add? (Vanilla Syrup);What kind of flavorings do you add? (Caramel Syrup);What kind of flavorings do you add? (Hazelnut Syrup);What kind of flavorings do you add? (Cinnamon (Ground or Stick));What kind of flavorings do you add? (Peppermint Syrup);What kind of flavorings do you add? (Other);What other flavoring do you use?;Before today's tasting, which of the following best described what kind of coffee you like?;How strong do you like your coffee?;What roast level of coffee do you prefer?;How much caffeine do you like in your coffee?;Lastly, how would you rate your own coffee expertise?;Coffee A - Bitterness;Coffee A - Acidity;Coffee A - Personal Preference;Coffee A - Notes;Coffee B - Bitterness;Coffee B - Acidity;Coffee B - Personal Preference;Coffee B - Notes;Coffee C - Bitterness;Coffee C - Acidity;Coffee C - Personal Preference;Coffee C - Notes;Coffee D - Bitterness;Coffee D - Acidity;Coffee D - Personal Preference;Coffee D - Notes;Between Coffee A, Coffee B, and Coffee C which did you prefer?;Between Coffee A and Coffee D, which did you prefer?;Lastly, what was your favorite overall coffee?;Do you work from home or in person?;In total, much money do you typically spend on coffee in a month?;Why do you drink coffee?;Why do you drink coffee? (It tastes good);Why do you drink coffee? (I need the caffeine);Why do you drink coffee? (I need the ritual);Why do you drink coffee? (It makes me go to the bathroom);Why do you drink coffee? (Other);Other reason for drinking coffee;Do you like the taste of coffee?;Do you know where your coffee comes from?;What is the most you've ever paid for a cup of coffee?;What is the most you'd ever be willing to pay for a cup of coffee?;Do you feel like you’re getting good value for your money when you buy coffee at a cafe?;Approximately how much have you spent on coffee equipment in the past 5 years?;Do you feel like you’re getting good value for your money with regards to your coffee equipment?;Gender;Gender (please specify);Marital Status;Household Income;Education Level;Ethnicity/Race;Ethnicity/Race (please specify);Employment Status;Number of Children;Political Affiliation
10;2eNLJg;y4rLgx;9/18/23 19:50;18-24 years old;1930;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;xpa2K9;a4Xb2y;9/18/23 20:01;;;;;False;False;False;False;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;V00RoJ;beR911;9/19/23 20:07;;;;;False;False;False;False;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;7WWB4A;Roedy4;9/19/23 20:08;<18 years old;12345;2;On the go, At a cafe, At home, At the office;True;True;True;True;False;Pour over, Coffee brewing machine (e.g. Mr. Coffee), Espresso, Bean-to-cup machine;True;False;True;True;False;False;True;False;False;False;;Local cafe, Specialty coffee shop;False;True;False;True;False;False;;Other;cortado;Milk, dairy alternative, or coffee creamer, Sugar or sweetener, Flavor syrup;False;True;True;True;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Full Bodied;Somewhat light;Light;Full caffeine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;pKL8aB;MaZZ6Y;9/20/23 11:20;25-34 years old;;1;At the office;False;True;False;False;False;;False;False;False;False;False;False;False;False;False;False;;;;;;;;;;Pourover;;No - just black;True;False;False;False;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Fruity;Somewhat strong;Light;Full caffeine;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Zd694B;jl0Q2x;10/16/23 16:00;<18 years old;12345;3;At home, At the office, At a cafe;True;True;False;True;False;Pour over, Espresso, Instant coffee;True;False;True;False;False;True;False;False;False;False;;;;;;;;;;Pourover;;No - just black, Milk, dairy alternative, or coffee creamer;True;True;False;False;False;;Whole milk;True;False;False;False;False;False;False;False;False;;;;;;;;;;;;;;;;;;Bright;Medium;Light;Full caffeine;10.0;1.0;1.0;1.0;a;1.0;1.0;1.0;b;1.0;1.0;1.0;c;1.0;1.0;1.0;d;Coffee A;Coffee D;Coffee B;I primarily work from home;>$100;;;;;;;;;;;;;;;Other (please specify);Cis;Living with a partner;Under $25,000;Bachelor's degree;Other (please specify);Alaskan native;Employed full-time;More than 3;Democrat
16;QAeYZY;GRD702;10/16/23 18:18;>65 years old;99999;3;At the office, At a cafe;False;True;False;True;False;;;;;;;;;;;;;;;;;;;;;Cortado;;No - just black;True;False;False;False;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Fruity;Somewhat strong;Blonde;Full caffeine;7.0;3.0;3.0;3.0;;3.0;3.0;3.0;;3.0;3.0;3.0;;3.0;3.0;3.0;;Coffee C;Coffee D;Coffee D;;;;;;;;;;;;;;;;;;;;;;;;;;
17;QA5JYA;BxL8L7;10/16/23 19:51;25-34 years old;10025;1;At home, At the office, On the go;True;True;True;False;False;Pour over, Coffee brewing machine (e.g. Mr. Coffee);True;False;False;True;False;False;False;False;False;False;;National chain (e.g. Starbucks, Dunkin), Local cafe, Specialty coffee shop;True;True;False;True;False;False;;Regular drip coffee;;Milk, dairy alternative, or coffee creamer, Sugar or sweetener;False;True;True;False;False;;Half and half;False;False;True;False;False;False;False;False;False;Granulated Sugar, Brown Sugar;True;False;False;False;False;False;True;False;;;;;;;;;Sweet;Somewhat strong;Medium;Full caffeine;6.0;3.0;3.0;3.0;;3.0;3.0;3.0;;3.0;3.0;3.0;;3.0;3.0;3.0;;Coffee A;Coffee A;Coffee B;I primarily work from home;$40-$60;;;;;;;;;;;;;;;Female;;Married;$150,000 or more;Bachelor's degree;White/Caucasian;;Employed full-time;;Democrat
18;Rz5BPj;AB6ArN;10/16/23 19:51;25-34 years old;1930;2;At a cafe;False;False;False;True;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;jyDqva;Ro2M6l;10/19/23 20:27;18-24 years old;2312;2;At the office;False;True;False;False;False;;;;;;;;;;;;;;;;;;;;;Iced coffee;;Milk, dairy alternative, or coffee creamer;False;True;False;False;False;;Oat milk;False;False;False;False;False;True;False;False;False;;;;;;;;;;;;;;;;;;Nutty;Somewhat strong;Nordic;Full caffeine;4.0;4.0;4.0;4.0;;4.0;4.0;4.0;;;4.0;4.0;;4.0;4.0;4.0;;;Coffee D;Coffee A;;;;;;;;;;;;;;;;;;;;;;;;;;
20;eB7QoJ;2K7A7D;10/20/23 13:53;18-24 years old;12345;3;At home;True;False;False;False;False;Pour over;True;False;False;False;False;False;False;False;False;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;24xzlg;VzNllE;10/21/23 16:34;18-24 years old;11221;;At home;True;False;False;False;False;Other;False;False;False;False;False;False;False;False;False;True;Aeropress;;;;;;;;;Pourover;;No - just black;True;False;False;False;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bright;Somewhat light;Light;Full caffeine;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;DVvoqX;JOoRZ4;10/21/23 16:47;35-44 years old;11201;;At the office, On the go, At home;True;True;True;False;False;Espresso;False;False;True;False;False;False;False;False;False;False;;Local cafe;False;True;False;False;False;False;;Cappuccino;;Milk, dairy alternative, or coffee creamer;False;True;False;False;False;;Oat milk;False;False;False;False;False;True;False;False;False;;;;;;;;;;;;;;;;;;Caramalized;Somewhat strong;Medium;Full caffeine;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;1r2YJQ;6ZPkao;10/21/23 16:54;25-34 years old;73044;More than 4;At the office, At home, At a cafe, On the go;True;True;True;True;False;Coffee extract (e.g. Cometeer);False;False;False;False;False;False;False;False;True;False;;National chain (e.g. Starbucks, Dunkin), Specialty coffee shop, Local cafe;True;True;False;True;False;False;;Regular drip coffee;;No - just black;True;False;False;False;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bold;Very strong;;Full caffeine;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;24xYOV;2KokqM;10/21/23 16:56;45-54 years old;8094;1;At home;True;False;False;False;False;Pour over;True;False;False;False;False;False;False;False;False;False;;;;;;;;;;Regular drip coffee;;No - just black;True;False;False;False;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Fruity;Medium;Light;Full caffeine;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;AlbYao;d9zPad;10/21/23 17:00;18-24 years old;85225;2;At the office, At home;True;True;False;False;False;Pod/capsule machine (e.g. Keurig/Nespresso), French press;False;True;False;False;True;False;False;False;False;False;;;;;;;;;;Latte;;Flavor syrup, Milk, dairy alternative, or coffee creamer;False;True;False;True;False;;Whole milk;True;False;False;False;False;False;False;False;False;;;;;;;;;;;;;;;;;;Full Bodied;Somewhat strong;Medium;Full caffeine;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;J2krYz;LPO0Kp;10/21/23 17:00;35-44 years old;94107;1;At home, At a cafe;True;False;False;True;False;Pour over, Espresso;True;False;True;False;False;False;False;False;False;False;;;;;;;;;;Pourover;;No - just black;True;False;False;False;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Fruity;;Medium;Full caffeine;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;WAp6ak;jlzxBx;10/21/23 17:03;;;;;False;False;False;False;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;aBr18q;4KOjNB;10/21/23 17:07;25-34 years old;;3;At home, On the go;True;False;True;False;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;42NYWO;g9z4N1;10/21/23 17:07;18-24 years old;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;6dQ08e;Y49do6;10/21/23 17:09;25-34 years old;75707;1;At a cafe, At home, On the go;True;False;True;True;False;Espresso, Cold brew, Pour over;True;False;True;False;False;False;False;True;False;False;;Specialty coffee shop;False;False;False;True;False;False;;Latte;;Milk, dairy alternative, or coffee creamer;False;True;False;False;False;;Whole milk;True;False;False;False;False;False;False;False;False;;;;;;;;;;;;;;;;;;Chocolatey;Very strong;Medium;Full caffeine;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;J2kj9J;Ex608q;10/21/23 17:09;18-24 years old;110034;2;;;;;;;French press, Cold brew;False;True;False;False;False;False;False;True;False;False;;;;;;;;;;Iced coffee;;No - just black;True;False;False;False;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;8dpDNA;X4QqOV;10/21/23 17:09;18-24 years old;61761;3;;;;;;;Pour over, Espresso;True;False;True;False;False;False;False;False;False;False;;;;;;;;;;Pourover;;No - just black;True;False;False;False;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;EPbVlL;W8q0jL;10/21/23 17:11;<18 years old;94306;;At home;True;False;False;False;False;Pour over;True;False;False;False;False;False;False;False;False;False;;;;;;;;;;Regular drip coffee;;No - just black;True;False;False;False;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Fruity;Somewhat strong;Light;Full caffeine;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;ylqbBg;KVG007;10/21/23 17:12;45-54 years old;48105;2;At home, At the office, At a cafe, On the go;True;True;True;True;False;Pour over, French press, Espresso;True;True;True;False;False;False;False;False;False;False;;Local cafe, Specialty coffee shop;False;True;False;True;False;False;;Regular drip coffee;;No - just black;True;False;False;False;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Floral;Medium;Light;Full caffeine;8.0;3.0;3.0;4.0;;3.0;3.0;5.0;;4.0;3.0;3.0;;5.0;2.0;3.0;;Coffee B;Coffee A;Coffee B;I primarily work from home;$20-$40;It tastes good;True;False;False;False;False;;Yes;Yes;$4-$6;$8-$10;No;$500-$1000;Yes;Male;;Married;$100,000 - $149,999;Master's degree;Other (please specify);Mix;Employed full-time;2;No affiliation
35;vNx6A4;o2zOgb;10/21/23 17:13;18-24 years old;61600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;KMB2og;19RExg;10/21/23 17:14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;No - just black;True;False;False;False;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;qbEQPO;4KOjdr;10/21/23 17:16;18-24 years old;61600;3;At the office, At home, At a cafe;True;True;False;True;False;Pour over, Cold brew, Other;True;False;False;False;False;False;False;True;False;True;Mokkapot;;;;;;;;;Pourover;;No - just black;True;False;False;False;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Fruity;Somewhat strong;Light;Full caffeine;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;9dJ0O5;o2zO1O;10/21/23 17:17;25-34 years old;H1032;2;At home, At the office, At a cafe;True;True;False;True;False;French press, Pod/capsule machine (e.g. Keurig/Nespresso), Other;False;True;False;False;True;False;False;False;False;True;Moka pot;;;;;;;;;Cortado;;No - just black, Milk, dairy alternative, or coffee creamer;True;True;False;False;False;;Whole milk;True;False;False;False;False;False;False;False;False;;;;;;;;;;;;;;;;;;Fruity;Somewhat strong;Light;Full caffeine;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;BGboZR;Ex60EB;10/21/23 17:17;18-24 years old;92008;3;At home, At a cafe, On the go;True;False;True;True;False;Pour over, French press, Espresso, Other, Cold brew, Coffee brewing machine (e.g. Mr. Coffee);True;True;True;True;False;False;False;True;False;True;Aeropress, moka pot.;Local cafe, Specialty coffee shop;False;True;False;True;False;False;;Espresso;;No - just black, Milk, dairy alternative, or coffee creamer, Sugar or sweetener;True;True;True;False;False;;Whole milk;True;False;False;False;False;False;False;False;False;Honey;False;False;True;False;False;False;False;False;;;;;;;;;Full Bodied;Medium;Light;Full caffeine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;oAVNdO;AB98Ge;10/21/23 17:18;>65 years old;48109;1;At home;True;False;False;False;False;Pod/capsule machine (e.g. Keurig/Nespresso);False;False;False;False;True;False;False;False;False;False;;;;;;;;;;Regular drip coffee;;No - just black;True;False;False;False;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Full Bodied;Somewhat strong;Dark;;2.0;3.0;3.0;3.0;;3.0;3.0;3.0;;4.0;3.0;;;4.0;3.0;4.0;;Coffee C;Coffee D;Coffee C;;;;;;;;;;;;;;;;;;;;;;;;;;
41;YZzBdN;W8q0dk;10/21/23 17:19;25-34 years old;505415;2;At home, At the office;True;True;False;False;False;Pour over, Espresso;True;False;True;False;False;False;False;False;False;False;;;;;;;;;;Pourover;;No - just black;True;False;False;False;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Floral;Medium;Light;Full caffeine;10.0;1.0;4.0;4.0;;1.0;4.0;4.0;;1.0;4.0;4.0;;2.0;4.0;4.0;;Coffee A;Coffee A;Coffee A;I do a mix of both;$40-$60;It tastes good, I need the caffeine;True;True;False;False;False;;Yes;Yes;$2-$4;More than $20;Yes;$50-$100;Yes;Male;;Single;Under $25,000;Master's degree;Asian/Pacific Islander;;Unemployed;;Independent
42;VZ17Z6;Ex60gl;10/21/23 17:19;35-44 years old;38138;1;At the office, At home;True;True;False;False;False;Pour over;True;False;False;False;False;False;False;False;False;False;;;;;;;;;;Iced coffee;;No - just black;True;False;False;False;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Fruity;Very strong;Light;Full caffeine;6.0;1.0;4.0;3.0;;3.0;2.0;4.0;;3.0;4.0;1.0;;1.0;4.0;5.0;;Coffee A;Coffee D;Coffee D;I primarily work in person;$20-$40;It tastes good;True;False;False;False;False;;Yes;Yes;$10-$15;More than $20;Yes;$100-$300;Yes;Male;;Married;$75,000 - $99,999;Bachelor's degree;White/Caucasian;;Employed full-time;3;No affiliation
